country,nx,tx,nx_avg
it,58,79,25
it,78,157,30
it,72,229,41
it,94,323,52
it,147,470,70
it,185,655,93
it,234,889,124
it,239,1128,150
it,573,1701,221
it,335,2036,258
it,466,2502,311
it,587,3089,374
it,769,3858,458
it,778,4636,535
it,1247,5883,679
it,1492,7375,811
it,1797,9172,1019
it,977,10149,1092
it,2313,12462,1339
it,2651,15113,1608
it,2547,17660,1861
it,3497,21157,2182
it,3590,24747,2482
it,3233,27980,2687
it,3526,31506,3051
it,4207,35713,3322
it,5322,41035,3703
it,5986,47021,4194
it,6557,53578,4632
it,5560,59138,4913
it,4789,63927,5135
it,5249,69176,5381
it,5210,74386,5525
it,6203,80589,5651
it,5909,86498,5640
it,5974,92472,5556
it,5217,97689,5507
it,4050,101739,5402
it,4053,105792,5231
it,4782,110574,5170
it,4668,115242,4950
it,4585,119827,4761
it,4805,124632,4594
it,4316,128948,4466
it,3599,132547,4401
it,3039,135586,4256
it,3836,139422,4121
it,4204,143626,4055
it,3951,147577,3964
it,4694,152271,3948
it,4092,156363,3916
it,3153,159516,3853
it,2972,162488,3843
it,2667,165155,3676
it,3786,168941,3616
it,3493,172434,3551
it,3491,175925,3379
it,3047,178972,3230
it,2256,181228,3102
it,2729,183957,3067
it,3370,187327,3167
it,2646,189973,3005
it,3021,192994,2937
it,2357,195351,2775
it,2324,197675,2672
it,1739,199414,2598
it,2091,201505,2507
it,2086,203591,2323
it,1872,205463,2213
it,1965,207428,2062
it,1900,209328,1997
it,1389,210717,1863
it,1221,211938,1789
it,1075,213013,1644
it,1444,214457,1552
it,1401,215858,1485
it,1327,217185,1394
it,1083,218268,1277
it,802,219070,1193
it,744,219814,1125
it,1402,221216,1172
it,888,222104,1092
it,992,223096,1034
it,789,223885,957
it,875,224760,927
it,675,225435,909
it,451,225886,867
it,813,226699,783
it,665,227364,751
it,642,228006,701
it,652,228658,682
it,669,229327,652
it,531,229858,632
it,300,230158,610
it,397,230555,551
it,584,231139,539
it,593,231732,532
it,516,232248,513
it,416,232664,477
it,333,232997,448
it,200,233197,434
it,318,233515,423
it,321,233836,385
it,177,234013,326
it,518,234531,326
it,270,234801,305
it,197,234998,286
it,280,235278,297
it,283,235561,292
it,202,235763,275
it,379,236142,304
it,163,236305,253
it,346,236651,264
it,338,236989,284
it,301,237290,287
it,210,237500,277
it,,,248
it,,,194
